CT_TYPE,CC_CODE,CC_DESC_AR,CC_DESC_EN,COMMODTIY_TYPE,COMMODTIY_CODE,COMM_NAME_AR,COMM_NAME_EN,2023,2024
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1012910,خيول للرياضة,Horses for sport,1817329.0,11227.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1012990,خيول غير مذكورة في مكان آخر,Horses not elsewhere specified,2582924.0,2003653.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1019000,بغال وكوادن (نغال),Mules and hinnies,1683.0,
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1022900,أبقار، عدا الأصيلة للأنسال,"Cattle, exclude pure-bred breeding",,33046707.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1041010,ضأن أصيلة للأنسال,Pure-bred breeding sheep,55507850.0,12725300.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1041090,ضأن، عدا الأصيلة للأنسال,"Sheep, exclude pure-bred breeding",1616408.0,33131850.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1042010,ماعز أصيلة للأنسال,Pure-bred breeding goats,3911650.0,1215875.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1042090,ماعز، عدا الأصيلة للأنسال,"Goats, exclude pure-bred breeding",306850.0,1011913.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1051100,صيصان دواجن من فصيلة جالوس دوميستكوس بوزن لا يتجاوز 185 غرام,Fowls of the species Gallus domesticus; weighing 185 g or less,51818813.0,60365188.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1051900,دجاج من فصائل اخرى لايزيد وزن الواحده عن 185غرام,"OTHER FOWLS, NOT MORE THAN 185 GRAMS",810865.0,
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1059410,دجاج بياض بوزن يتجاوز 185 غرام,"Gallus domesticus layers fowls, weighing more than 185 g",4190.0,
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1059430,دجاج أمهات بوزن يتجاوز 185 غرام,"Gallus domesticus mothers fowls, weighing more than 185 g",4795580.0,
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1059490,دواجن جالوس دوميستكوس غير مذكورة في مكان آخر بوزن يتجاوز 185 غرام,"Gallus domesticus fowls not elsewhere specified, weight over 185g",,2244112.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1061200,حيتان ودلافين وخرفان وعجول بحر وفقمة ومايماثلها من ثديات بحرية,"Whales, dolphins, manatees, seals, walruses and other sea mammals",12364647.0,
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1061310,جمال أصلية للأنسال,Pure-bred breeding camels,39068200.0,3176322.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1061320,جمال للمسابقات الرياضية والمزاينة,Camels for sport and beauty contests,100490498.0,112560857.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1061390,جمال غير مذكورة في مكان آخر,Camels not elsewhere specified,,465000.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1061400,أرانب أليفة وبرية,Tame and wild rabbits,5055.0,258.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1061940,كلاب,Dogs,820309.0,756448.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1061990,ثديات حية غير مذكورة في مكان آخر,live mammals not elsewhere specified,1393228.0,1356622.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1062000,زواحف بمافيها الثعابين والسلاحف,Reptiles (including snakes and turtles),13145.0,117382.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1063100,طيور جارحة (جوارح),Birds of prey,90000.0,50500.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1063200,ببغاوات بما فيها الببغاوات العادية والبركيت والمكاو والكوكاتو,"Psittaciformes (inc. parrots, parakeets, macaws and cockatoos)",,20881.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1063300,نعام؛ آمو (النعام الأسترالي) (درومايوس وفيهولنداي),Ostriches; emus (Dromaius novaehollandiae),75000.0,
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1063910,حمام أليف وبرى، حجل، تدرج، سماني، دجاج الأرض، شنقب، وطيور مشابهة,"Tame and wild pigeons, partridges, pheasants, and similar animals",348775.0,162500.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1063920,طيور الزينة,ORNAMENTAL BIRDS.,73059.0,77798.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,1064900,حشرات حية عدا النحل,live insects exclude bees,,8322.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,4071100,بيض للتفريخ من دجاج من نوع جالوس دوميستيكوس,Fresh eggs for hatching of fowls of the species Gallus domesticus,2438440.0,6301665.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,4071900,غيره من بيض طيور للتفريخ,OTHER FRESH BIRDS EGGS FOR HATCHING,23234656.0,56885446.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,4072100,بيض طازج للمائدة، من دجاج من نوع جالوس دوميستيكوس,Fresh eggs of fowls of the species Gallus domesticus,,10979532.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,4072900,غيره من بيض طيور طازج,OTHER FRESH BIRDS EGGS,15475727.0,70118753.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,4090000,عسل طبيعى,NATURAL HONEY,56173119.0,71415609.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,6012000,بصيلات ودرنات وجذور درنيه وبصليه منبته,"BULBS, TUBERS, TUBEROUS ROOTS, IN GROWTH",13875.0,
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,6021090,غيرهامن فسائل وشتلاتوطعوم مجثثه الجذور,OTHER UNROOTED CUTTINGS AND SLIPS,40809.0,110600.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,6022010,فسائل نخيل,PALM TREE SEEDLINGS,21136234.0,19689976.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,6022020,فسائل جوز الهند,OTHER EDIBLE FRUIT TREES OR BUSHES,,22590.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,6022090,غيرهامن اشجاروجنبات  فواكه او شجيرات صالحه لاكل,OTHER EDIBLE FRUIT TREES OR BUSHES,135852.0,634941.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,6023010,شجيرات زينه,ORNAMENTAL SHRUBS,212541.0,213178.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,6029000,غيرهامن جنبات وردية وصحراوية,OTHER FLOWERS SIDES GRAFTED AND NOT GRAFTED.,,74527.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,6031100,ورد, Roses,1375260.0,1157123.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,6031200,قرنفل, Carnations,1874073.0,352250.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,6031900,غيرها من أزهار وبراعم أزهار مقطوفة للباقات أو للتزيين," Other Flowers, Shoots Cut Flowers For Bouquets Or For Decorating",100.0,970.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,6039000,أزهار وبراعم أزهار، مقطوفة، محضرة غير رطبة,"Cut flowers and flower buds, prepared but not fresh",736730.0,125529.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7019000,غيرها من بطاطس، طازجه,"OTHER POTATOES, FRESH",595436.0,597917.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7020000,طماطم طازجة أو مبردة,"TOMATOES, FRESH OR CHILLED",2029396.0,1865558.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7031011,"بصل للطعام(اخضر او يابس، القشره,طازج","ONIONS FOR FOOD (GREEN OR DRY RIND), FRESH",1218518.0,17508110.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7031012,بصل للبذار، طازج,"ONIONS (FOR SOWING), FRESH",,37125.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7032000,ثوم,"GARLIC, FRESH",2763034.0,5516672.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7039000,كراث وخضروات اخرى من فصيله الثوم والبصل,"LEEKS AND OTHER ALLIACEOUS VEGETABLES, FRESH",43018.0,119899.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7041000,قرنبيط  وبروكولى  طازج,"CAULIFLOWERS AND HEADED BROCCOLI, FRESH",4117613.0,4287722.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7042000,"كرنب مسوق ,طازج","BRUSSELS SPROUTS, FRESH",,333075.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7049000,"غيرهامن فصائل صالحه للاكل,طازحه","OTHER EDIBLE BRASSICAS, FRESH",11652080.0,13876705.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7051100,"خس،بلدى ,طازج","CABBAGE LETTUCE (HEAD LETTUCE), FRESH",3947529.0,3800452.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7051900,"غيره من خس،,طازج","OTHER LETTUCE, FRESH",858404.0,451925.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7052900,غيرهامن هندبا طازجه,"OTHER CHICORY, FRESH",6155.0,
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7061000,جزر ولفت طازج,"CARROTS AND TURNIPS, FRESH",7719256.0,11516699.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7069000,غيرهامن جذورصالحه للاكل طازجه,"OTHER EDIBLE ROOTS, FRESH",12002580.0,10259909.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7070000,خيار وجيركن طازج,"CUCUMBERS AND GHERKINS, FRESH",4578693.0,6070547.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7081000,بازيلاطازجه,"PEAS, FRESH",288049.0,1573444.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7082000,فاصولياطازجه,"BEANS, FRESH",1444177.0,1774470.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7089010,فول طازج,"KIDNEY BEANS, FRESH",1881464.0,2852863.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7089090,غيرها من خضـروات بقليه طازجه,"OTHER LEGUMINOUS VEGETABLES, FRESH",474413.0,1326637.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7093000,باذنجان طازج,"AUBERGINES (EGG-PLANTS), FRESH",10939525.0,10152223.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7094000,كرفس، عدا الكرفس اللفتي طازج,"CELERY OTHER THAN CELERIAC, FRESH",8250.0,51045.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7095100,فطر من جنس أجاريكوس,Mushrooms of the genus Agaricus,113.0,2588474.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7095910,كمأ (فقع),Truffles,877500.0,193750.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7095990,غيرها من فطر وكمأ طازج أو مبرد,"Other mushroom and truffles, fresh or chilled",2468006.0,4483183.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7096000,أثمار من جنس كابسيكوم أو من جنس بيمنتا (فليفلة أو فلفل),"FRUITS OF THE GENUS CAPSICUM OR PIMENTA, FRESH",7665941.0,11063627.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7099100,غيرها من خضروات طازجه,"OTHER VEGETABLES, FRESH",3600.0,
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7099200,زيتون طازج,"OLIVES, FRESH",,15.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7099300,قرع(يقطين )ـ طازج,"PUMPKINS, FRESH",5250.0,1146312.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7099910,كوسه طازجه,"MARROW, FRESH",2825333.0,4127438.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7099920,باميا طازجه,"OKRA, FRESH",2293745.0,1849832.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7099930,بقدونس، طازج,"PARSLEY, FRESH",7195108.0,10996979.0
ISI4,1,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,"Crop and animal production, hunting and related service activities",H,7099940,كزبره طازجه,"CORIANDER, FRESH",9310834.0,12697589.0
