CT_TYPE,CC_CODE,CC_DESC_AR,CC_DESC_EN,COMMODTIY_TYPE,COMMODTIY_CODE,COMM_NAME_AR,COMM_NAME_EN,2023,2024,Growth,Share
ISI4,24.0,صُنع الفلّزات القاعدية,Manufacture of basic metals,H,71081210.0,سبائك ذهب,GOLD INGOTS,27411956878.0,30524791836.0,0.11355756073358872,0.03496445486470555
ISI4,19.0,صُنع فحم الكوك والمنتجات النفطية المكررة,Manufacture of coke and refined petroleum products,H,27101249.0,غيرها من زيوت وقود,OTHER FUEL OILS,24823160942.0,25730139206.0,0.036537581419190716,0.029472446389291005
ISI4,29.0,صُنع المركبات ذات المحرّكات والمركبات المقطورة ونصف المقطورة,"Manufacture of motor vehicles, trailers and semi-trailers",H,87032211.0,سيارات خاصة موديل سنة التخليص أو التي تليها (1001-1500) سم3,"PRIVATE CARS, CURRENT, SPARK IGNITION, 1001 TO 1500 CC",22391348652.0,23695466123.0,0.05824202424196168,0.02714184130090239
ISI4,29.0,صُنع المركبات ذات المحرّكات والمركبات المقطورة ونصف المقطورة,"Manufacture of motor vehicles, trailers and semi-trailers",H,87032111.0,سيارات خاصة موديل سنة التخليص أو التي تليها (<1000سم3),"PRIVATE CARS, CURRENT, SPARK-IGNITION, NOT OVER 1000 CC",21596350527.0,20899569592.0,-0.03226382782261645,0.02393929700216471
ISI4,26.0,صُنع الحواسيب والمنتجات الإلكترونية والبصرية,"Manufacture of computer, electronic and optical products",H,85171300.0,أجهزة هاتف ذكية (سمارت فون),Smartphones,20808828760.0,26035656838.0,0.25118319432025543,0.029822399879943066
ISI4,21.0,صُنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,Manufacture of basic pharmaceutical products and pharmaceutical preparations,H,30049090.0,أدوية غير مذكورة في مكان آخر، مهيأة للبيع بالتجزئة,"Medicaments not elsewhere specified, put up for retail sale",16148503262.0,16570247746.0,0.02611662995371416,0.01898029911308732
ISI4,99.0,أنشطة المنظمات والهيئات غير الخاضعة للتشريعات الوطنية,Activities of extraterritorial organizations and bodies,H,98010000.0,الأمتعة الشخصية و المنـزلية المستعملة التي يجلبها المواطنون معهم,the personal effects and used household items brought into the co,13680417303.0,17805388063.0,0.3015237524293523,0.02039508379359716
ISI4,19.0,صُنع فحم الكوك والمنتجات النفطية المكررة,Manufacture of coke and refined petroleum products,H,27101221.0,بنزين محركات,ENGINE  GASOLINE,13480325130.0,13704866601.0,0.01665697739739902,0.015698164045539573
ISI4,29.0,صُنع المركبات ذات المحرّكات والمركبات المقطورة ونصف المقطورة,"Manufacture of motor vehicles, trailers and semi-trailers",H,87032231.0,سيارات جيب موديل سنة التخليص أو التي تليها (1001-1500) سم3,"JEEPS, CURRENT, SPARK IGNITION, 1001 TO 1500 CC",12672148737.0,14012787244.0,0.10579409497346086,0.016050870051920497
ISI4,30.0,صُنع معدات النقل الأخرى,Manufacture of other transport equipment,H,89069090.0,غيرها من سفن,OTHER SHIPS,9652095644.0,8943760109.0,-0.07338670907600468,0.010244580809330191
