Input-Output Table at Current Prices 2023 - Code,Input-Output Tables (IOTs) 2018 (Thousands of Saudi riyals) - Economic Activities (ISIC Rev. 4),"01 - Crop and animal production, hunting and related service activities",02 - Forestry and logging,03 - Fishing and aquaculture,05 - Mining of coal and lignite,06 - Extraction of crude petroleum and natural gas,07 - Mining of metal ores,08 - Other mining and quarrying activities,09 - Mining support service activities,10 - Manufacture of food products,11 - Manufacture of beverages,13 - Manufacture of textiles,14 - Manufacture of wearing apparel,15 - Manufacture of leather and related products,"16 - Manufacture of woods, wood products and cork except furniture",17 - Manufacture of paper and paper products,18 - Printing and reproduction of recorded media,19 - Manufacture of coke and refined petroleum products,20 - Manufacture of chemicals and chemical products,21 - Manufacture of basic pharmaceutical products and pharmaceutical preparations,22 - Manufacture of rubber and plastics products,23 - Manufacture of other non-metallic mineral products,24 - Manufacture of basic metals,"25 - Manufacture of fabricated metal products, except machinery and equipment","26 - Manufacture of computer, electronic and optical products",27 - Manufacture of electrical equipment,28 - Manufacture of machinery and equipment n.e.c.,"29 - Manufacture of motor vehicles, trailers and semi-trailers",30 - Manufacture of other transport equipment,31 - Manufacture of furniture,32 - Other manufacturing,33 - Repair and installation of machinery and equipment,"35 - Electricity, gas, steam and air conditioning supply","36 - Water collection, treatment and supply",37 - Sewerage,"38 - Waste collection, treatment and disposal activities; materials recovery",39 - Remediation activities and other waste management services,41 - Construction of buildings,42 - Civil engineering,43 - Specialized construction activities,45 - Wholesale and retail trade and repair of motor vehicles and motorcycles,"46 - Wholesale trade, except of motor vehicles and motorcycles","47 - Retail trade, except of motor vehicles and motorcycles",49 - Land transport and transport via pipelines,50 - Water transport,51 - Air transport,52 - Warehousing and support activities for transportation,53 - Postal and courier activities,55 - Accommodation,56 - Food and beverage service activities,58 - Publishing activities,"59 - Motion picture, video and television programme production, sound recording and music publishing activities",60 - Programming and broadcasting activities,61 - Telecommunications,"62 - Computer programming, consultancy and related activities",63 - Information service activities,"64 - Financial service activities, except insurance and pension funding","65 - Insurance, reinsurance and pension funding, except compulsory social security",66 - Activities auxiliary to financial service and insurance activities,68 - Real estate activities,69 - Legal and accounting activities,70 - Activities of head offices; management consultancy activities,71 - Architectural and engineering activities; technical testing and analysis,72 - Scientific research and development,73 - Advertising and market research,"74 - Other professional, scientific and technical activities",75 - Veterinary activities,77 - Rental and leasing activities,78 - Employment activities,"79 - Travel agency, tour operator, reservation service and related activities",80 - Security and investigation activities,81 - Services to buildings and landscape activities,"82 - Office administrative, office support and other business support activities",84 - Public administration and defence; compulsory social security,85 - Education,86 - Human health activities,87 - Residential care activities,88 - Social work activities without accommodation,"90 - Creative, arts and entertainment activities","91 - Libraries, archives, museums and other cultural activities",93 - Sports activities and amusement and recreation activities,94 - Activities of membership organizations,95 - Repair of computers and personal and household goods,96 - Other personal service activities,97 - Activities of households as employers of domestic personnel,Total Intermediate Consumption,Households final consumption expenditures,Government final consumption expenditures,Non profit institutions serving household final consumption expenditures,Final consumption expenditures,Fixed capital Formation,Change in inventories,Gross capital formation,Export of goods,Petroleum Exports,Export of services,Total Export,Final Demand,Total imports,Total Output
01,"Crop and animal production, hunting and related service activities",12412576.486796822,14988.073132406833,340447.7671211301,0,0,0,0,0,55370056.10661569,2933962.5427376423,766933.3806775576,117299.30208186443,17424.1516770142,4546.017261231877,78020.90168567264,9320.618661703955,0,384658.3548151483,881118.4278624443,251094.2749596908,0,8797.572020890346,0,0,14913.71463467203,54207.925714769575,57653.9937445919,1531.9347572282218,694237.1276174125,662.9283983337392,0,0,0,0,13261.22547847568,11925.705002532202,0,0,0,0,291132.6010023775,605132.6320254323,0,0,0,0,0,3030497.0604157443,4549518.0870063985,0,0,0,0,0,0,0,0,0,0,0,0,0,88689.20705689643,0,0,10830.86481634622,0,0,0,0,2711996.328359076,0,0,0,1563006.1713918142,71351.47505243996,9234.504117481676,0,46181.37895452918,27777.50972378846,0,0,0,0,87444986.35337725,71475577.56478108,792080.381420231,320.1093760175672,72267978.05557732,6854921.378346342,1444773.847100884,8299695.225447225,1464580.1105911315,0,4138767.036450658,5603347.147041789,86171020.42806634,38149722.7814436,135466284
02,Forestry and logging,0,0,0,0,0,0,0,0,0,0,0,0,0,361615.52595360123,104442.00057607157,0,0,82461.28168818292,0,0,2161.1299072039633,0,0,0,0,0,0,654.5538256359094,63646.02467211993,0,0,0,0,0,0,0,0,0,0,0,23470.37418719734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638450.8908100128,9615.565951636254,0,0,9615.565951636254,0,9110.666925780382,9110.666925780382,2348.876312570507,0,0,2348.876312570507,21075.109189987143,242739.99999999997,416786
03,Fishing and aquaculture,0,0,162145.4335042523,0,0,0,0,0,434271.39730668406,0,0,0,0,0,0,0,0,2205.584933767828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809070.1230402591,861586.7536733085,0,0,0,0,0,0,0,0,0,0,0,0,0,1986.441919190214,0,0,0,0,0,0,0,0,0,0,0,20494.186006972894,1377.983512564731,28.341850187507358,0,0,0,0,0,0,0,2293166.245747187,3415300.2427547714,39893.30664256383,0,3455193.549397335,0,0,0,32735.678445554728,0,109630.52640992275,142366.20485547747,3597559.754252812,701764.9999999999,5188960.999999999
05,Mining of coal and lignite,9.136619595328595,0.10187410974495677,0.22397042104977385,8.8189308691849,1883.2813612663447,696.1124275537147,2476.4740937491133,1156.1682218045282,0,0,0,0,0,1.5059751712312468,0.8100327153128959,0,1303.9422845210593,70626.03374453129,3.4652872846686127,0,44337.394456616465,130401.03820094955,0.561261481029331,0,0,0,0,0,0,0,0,52856.113434992636,0.00869464307277257,0.0005225495002000209,0.018289280760215722,0.005617407127150225,259.3853594863778,165.01075804661377,3.540397390695871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306189.1518164364,1.8176307470530801,0,0,1.8176307470530801,0,1709.2365309664074,1709.2365309664074,1283.816927120271,601.1365187441382,0.5822900390817174,1885.535735903491,3596.589897616952,284021.7417140534,25763.99999999994
06,Extraction of crude petroleum and natural gas,3953.8674337309894,15.422350984342673,335.36053414972594,478.4191738875975,124916.07755764909,4677.014428123428,232364.3347631499,2042433.9494759548,0,0,0,0,0,0,0,0,275242903.49298066,65689513.75813882,121127.8484980233,416404.3854032387,1115150.4094983265,403434.9907033229,825298.0621424307,3.0239903890867987,1.2095961556347194,109.4684520849421,36.28788466904158,70.45897606572241,0,43.5454616028499,144.546740598349,34164962.67714127,824.5512525309184,598.1452989613688,302.39903890867987,34.473490435589504,129402.8991288412,23178.583933311405,0,0,56.24622123701445,73164.84266587728,1194852.9537529838,334399.9870569834,619018.97604075,402.4931207874529,0,0,0,0,143.03474540380557,1556.4478532629755,845177.1906391417,19671.66227908744,5194.005892295485,0,0,0,0,61.08460585955333,569.4173902650442,77337.04220570033,23362.442548967883,169.6458608277694,713.6617318244845,1307.271045202223,96.16289437296021,90.71971167260395,0.6047980778173597,7986.963415656052,32.356697163228745,0,0,1196.2905979227373,5806.061547046653,198.67616856300268,64.41099528754881,10.281567322895116,0,1.5119951945433994,5818.762306680817,894.4963570918751,88.30051936133451,0,383762163.6686962,0,382511.0827895047,30661.188370329546,413172.2711598343,3026295.0831885277,-10372342.198536616,-7346047.115348089,0,753710437.9999999,254.40737114156863,753710692.407371,746777817.5631828,1473259.2318791263,1129066721.9999998
07,Mining of metal ores,0,0,0,14.542910190554505,155653.11709351698,3679.2662375990626,22783.87349130773,4058.7206807384778,0,0,0,0,0,367.92492654468685,866.3380346934896,99.7555813559909,48835.29419011851,26349.46790958897,0,1017.0085321234282,5456.448727879768,5165987.26028017,329325.8833833705,125.85031337940673,59.66430804536717,21.6251473511424,7.0091388708336195,4.17641493553242,25.369386599637703,3.755789600932819,13.926837451536892,31.50743639080854,34.78773648306354,2.8211735828636835,1.4255059966636352,0.1626674634950401,610.4236134409998,109.33852376165136,212.94614765555437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010587823067724503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5765759.702708032,0,0,0,0,120.09517311141818,211030.8373852023,211150.9325583137,1871813.4191272426,0,63.47448471562443,1871876.8936119583,2083027.826170272,2012267.528878304,5836520
08,Other mining and quarrying activities,78037.1461559239,218.50435333950384,480.3822300010815,35.96732964957967,363486.223854238,5773.061141136128,27851.4695522362,11032.175465778735,0,0,0,0,0,82089.25266292326,65483.38993594065,255.60857468147242,120118.04333258048,2718142.1042428864,87590.52617492824,4627.451729296209,5900630.517718557,594221.9684177563,424587.9374073085,80.08954531333718,152.88075646021696,55.411166137927225,17.959857204628385,10.701430981994314,529.6220895175533,510364.9632525834,35.68541250944359,593.3102167346088,7316.6897499555425,7.22883019318399,14.760191105862681,0.4168107480887391,2364034.295375257,1533809.0886600637,600493.6570447646,0,70156.4539575149,38183.3114000788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027129693662580653,0,0,0,0,0,0,0,57378.96232523554,0,0,0,0,0,0,0,0,0,0,0,0,0,15667897.245481215,27674.775545998964,0,0,27674.775545998964,307.72569923267486,574760.5049795286,575068.2306787613,227719.97228897788,19613.96778126675,129.66451907447566,247463.60458931912,850206.6108140792,1537285.8562952941,14980818
09,Mining support service activities,0,0,0,711.6927762873869,7617264.87962634,126145.97005539885,319017.41164335003,196631.4467865668,0,0,0,0,0,0,0,0,2002519.9944252528,775733.2133790046,86251.00814583975,41590.51340276521,2009.4407118643069,23428.29851032217,25508.572608695235,11993.027871227026,68896.11566239783,8383.37631446036,4509.725607724556,660.7552130175898,0,1471.8197631927676,0,0,0,0,0,0,2036.526686076463,14096.913098436351,19966.63972712915,0,0,376449.42306608177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.97702401649188,5446.508281627865,7346.446814851581,685.346426447047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11738868.043628376,0,0,0,0,0,0,0,0,0,3268.8780947109185,3268.8780947109185,3268.8780947109185,4112505.9217230855,7629631.000000001
10,Manufacture of food products,4370139.795361425,534.6075290007308,409580.4144815132,0.41121307955879366,4391.714588131984,87.53552913163324,1745.6520389147975,58.193609082790594,26454366.509087496,965772.8155251419,1864.5222098597292,919.053336813948,10438.133341844388,541.0147622282897,1377.2131092281168,996.6608187505269,5295.149681258338,33696.96660878616,951.8770711489499,1978.7502153347486,3197.6730222763813,3394.7517416797987,4971.002262033659,59.97652860322128,1915.3333251798983,728.3714761188573,415.9853682162443,155.42615076962255,1418.2666157213343,552.9351277260974,875.2149151902944,482.683786912817,1690.4304303615695,100.53247043542937,420525.3564247683,16.969568316399513,21365.789558127708,6526.99041802733,12221.506997776854,3587.4791672705965,95358.99718868248,1547157.4952095733,2889.791346088382,986.9384607534259,1001.8914035559036,1294.1728260175375,877.7575192854893,14354054.948548986,17675403.997924816,911.0054203158069,449.20368700652807,486.84160159655715,19247.92095576157,6068.859928344694,1957.8336508384891,1405.565933473198,60.73754540502237,31.8058998978162,3169.068213380074,65336.26188147669,11242.4697658383,3678.1500199203233,4004.247914307538,9482.381914736972,90728.26699705077,4335.435091180345,527.4429654991937,53345.657495394975,70351.55322775175,7211.313941557029,77960.32474393048,4087.7964490692234,8987.427578841485,18312.42727227234,3857468.1397586064,149271.77462729852,152990.61983969732,2171.3798202944204,4819.416470934077,8727.111966844019,6563.845381556825,7610.243914174192,8704.787574316953,0,71089672.97535002,186129486.25244638,2087559.308494508,133.49307108406472,188217179.054012,87540.04222788815,2690099.7498847973,2777639.7921126843,11204922.2775009,4893.646653202331,5175764.374224536,16385580.298378637,207380399.14450333,66016875.11985337,212453197
11,Manufacture of beverages,4691.3469165172055,0.3565050343867159,16.839834049021007,0.025910888394000898,275.8283935310376,5.724384228127599,19.390985288879115,3.690079557621595,656486.906176291,157570.5548855492,121.92214454456744,59.43759580058651,10.307092120131886,33.40395991917243,89.39716462943977,64.53560778339514,346.9504087400226,1031.1770896149667,62.25147101747357,129.4944805575136,207.08517411800048,220.91096968767968,445.2347901000861,3.8673546160915033,112.11938819141278,42.64672414277506,26.959320161888837,10.094506671636617,92.7574312117852,35.511955006199,54.43118755606608,31.378890655436713,105.05329011329601,5.577170518713405,4092.6095505187277,1.1032961652842475,1288.9677208094465,271.1611292423643,733.932300674193,165.57126016065672,390173.9223099317,110871.35135146194,55.44584436384894,17.76534054748252,19.83011720741288,35.60685057455598,6.0281970151019095,1101477.456918808,610734.0658433823,15.165470025257743,7.767083353567627,2.8107260805447485,245.9040404043249,38.94800607508364,19.72526902542157,29.332988206904577,0.4325764642369819,0.5636934373011651,198.20161786050573,23.18992408139225,13.934762362818326,20.65505202638192,40.63248185585851,10.942065463357995,21.07612439973616,1.621742886352699,28.98856583551051,14.035077999478565,15.090310163974078,14.086838368753579,30.76939649639511,23.66145616994592,260.5493487714968,150.10097716605426,165450.77411718856,2419.419832160091,1933.5329649142536,4.41241756289494,33.31179006844077,35.46172751791682,5.197821557982007,24.808592466038142,89.35511006283309,0,3213582.447237755,19273199.833701,142610.92739956087,1.7445945782580403,19415812.505695138,5412.427967317656,968.2965811616912,6380.7245484793475,394308.7353954257,320.71074711289515,426120.10115003184,820749.5472925704,20242942.777536187,3349248.224773942,20107277
